Banco,Latitude,Longitude,Estado,Bairro,Municipio,Fundação
Autogestão,-23.6739274,-46.7407377,São Paulo,Jardim São Luís,São Paulo,2009
União Sampaio,-23.64450715,-46.78521514,São Paulo,Jardim Maria Sampaio,São Paulo,2009
Padre Leo Commissari,-23.7374247,-46.5350171,São Paulo,Jardim Silvina,São Bernardo do Campo,2011
Ativa FZA,-23.4425643,-46.91555153,São Paulo,Fazendinha,Santana do Parnaíba,2019
Orquídea,-23.19370001,-46.81439371,São Paulo,Vila Real,Várzea Paulista,2011
Cultura,-22.9130257,-43.1822358,Rio de Janeiro,Lapa,Rio de Janeiro,2018
Cidade de Deus,-22.94803,-43.362903,Rio de Janeiro,Cidade de Deus,Rio de Janeiro,2011
Fundinho,-22.8884,-43.1147,Rio de Janeiro,Niteroi,Rio de Janeiro,2009
Preventório,-22.93442186,-43.10042289,Rio de Janeiro,Charitas,Niterói,2011
Capivari,-22.6509706,-42.3947353,Rio de Janeiro,Silva Jardim,Silva Jardim,2010
Mumbuca,-22.91674921,-42.95903351,Rio de Janeiro,Marica,Marica,2013
Arariboia,-22.87770663,-43.09194296,Rio de Janeiro,Niteroi,Niteroi,2021
Chapadense,-15.2946253,-45.6284904,Minas Gerais,Chapada Gaúcha,Chapada Gaúcha,2009
Esmeralda,-19.7613111,-44.3145945,Minas Gerais,Esmeraldas,Esmeraldas,2011
Banclisa,-17.8756111,-41.5046009,Minas Gerais,Teófilo Rocha,Teófilo Otoni,2011
ICOM,-27.5967024,-48.5270263,Santa Catarina,Serrinha,Florianópolis,2020
ICOM,-27.58983719,-48.54444335,Santa Catarina,Chico  Mendes,Florianópolis,2020
ICOM,-27.69597163,-48.53796701,Santa Catarina,Nossa  Senhora da Glória,Florianópolis,2020
ICOM,-26.4465656,-52.8319931,Santa Catarina,Novo  Horizonte,Florianópolis,2020
ICOM,-27.5906209,-48.6013611,Santa Catarina,Monte Cristo,Florianópolis,2020
ICOM,-27.60697945,-48.54452673,Santa Catarina,Morro do Mocotó,Florianópolis,2020
ICOM,-27.66347774,-48.49075678,Santa Catarina,Comunidade da Praia,Florianópolis,2020
Costeira,-27.6824506,-48.4905604,Santa Catarina,Campeche,Florianópolis,2020
Banco  Justa Troca,-27.942,-52.923085,Rio Grande do Sul,Sarandi,Porto Alegre,2016
Banco Cascata,-30.09015315,-51.18088778,Rio Grande do Sul,Vila  1o. De Maio,Porto Alegre,2016
Banco Grão,-30.02983837,-51.22830341,Rio Grande do Sul,S.I,S.I,2017
